raw_ingredient,canonical_name,frequency
fragrance oil,parfum (fragrance),17
hydrogenated palm kernel glycerides,hydrogenated palm kernel glycerides,17
salicylic acid 2%,salicylic acid,17
cucumis sativus (cucumber) seed oil,cucumis sativus (cucumber) seed oil,17
genistein,genistein,17
asiatic acid,asiatic acid,17
eugenia caryophyllus (clove) flower extract,eugenia caryophyllus (clove) flower extract,17
hexylresorcinol,hexylresorcinol,17
rhodiola rosea root extract,rhodiola rosea root extract,17
zea mays (corn) oil,zea mays (corn) oil,17
opuntia ficus-indica stem extract,opuntia ficus-indica stem extract,17
polyglyceryl-6 oleate,polyglyceryl-6 oleate,17
c15-23 alkane,c15-23 alkane,17
decyl oleate,decyl oleate,17
adansonia digitata fruit extract,adansonia digitata fruit extract,17
silicone quaternium-8,silicone quaternium-8,17
octylacrylamide/acrylates/butylaminoethyl methacrylate copolymer,octylacrylamide/acrylates/butylaminoethyl methacrylate copolymer,17
palmitamidopropyltrimonium chloride,palmitamidopropyltrimonium chloride,17
hydroxypinacolone retinoate,hydroxypinacolone retinoate,17
helianthus annuus (sunflower) sprout extract,helianthus annuus seed oil,17
chamomilla recutita (matricaria) extract,chamomilla recutita (matricaria) extract,17
sodium ascorbate,sodium ascorbate,17
rosmarinus officinalis leaf extract,rosmarinus officinalis extract,17
hesperidin methyl chalcone,hesperidin methyl chalcone,17
dipeptide-2,dipeptide-2,17
ethyl linalool,linalool,17
hydrolyzed wheat protein pg-propyl silanetriol,hydrolyzed wheat protein pg-propyl silanetriol,17
ci 77492/iron oxides,iron oxides (ci 77492),17
silybum marianum fruit extract,silybum marianum fruit extract,17
punica granatum seed oil,punica granatum seed oil,17
polyglyceryl-10 decaisostearate,polyglyceryl-10 decaisostearate,17
quercetin,quercetin,17
dehydroxanthan gum,dehydroxanthan gum,17
citrus limon (lemon) peel oil*,citrus limon (lemon) peel oil,17
butyrospermum parkii (shea) oil,shea butter,17
tyrosine,tyrosine,17
hippophae rhamnoides extract,hippophae rhamnoides extract,17
hydrogenated olive oil,hydrogenated olive oil,17
spirulina maxima extract,spirulina maxima extract,17
lanolin alcohol,lanolin alcohol,17
dihydro pentamethylindanone,dihydro pentamethylindanone,17
octadecene,octadecene,17
tridecyl stearate,tridecyl stearate,17
prunus amygdalus dulcis (sweet almond) seed extract,prunus amygdalus dulcis (sweet almond) seed extract,17
pelargonium graveolens (geranium) flower oil,pelargonium graveolens (geranium) flower oil,17
dimethicone/phenyl vinyl dimethicone crosspolymer,dimethicone,17
malva sylvestris (mallow) flower extract,malva sylvestris (mallow) flower extract,16
calophyllum inophyllum seed oil,calophyllum inophyllum seed oil,16
glycogen,glycogen,16
fumaric acid,fumaric acid,16
lysine hcl,lysine hcl,16
panax (ginseng) root extract,panax (ginseng) root extract,16
cetyl ricinoleate,cetyl ricinoleate,16
fructooligosaccharides,fructooligosaccharides,16
silicone quaternium-18,silicone quaternium-18,16
carthamus tinctorius (safflower) seed extract,carthamus tinctorius (safflower) seed extract,16
euterpe oleracea (acaì) fruit oil,euterpe oleracea (acaì) fruit oil,16
lauryl/myristyl polyricinoleate,lauryl/myristyl polyricinoleate,16
diatomaceous earth,diatomaceous earth,16
potassium sulfate,potassium sulfate,16
yogurt powder,yogurt powder,16
sapindus mukorossi peel extract,sapindus mukorossi peel extract,16
madecassic acid,madecassic acid,16
hydrogenated farnesene*,hydrogenated farnesene,16
mentha viridis (spearmint) leaf oil*,mentha viridis (spearmint) leaf oil,16
theobroma grandiflorum (cupuaçu) seed butter,theobroma grandiflorum (cupuaçu) seed butter,16
nymphaea odorata root extract,nymphaea odorata root extract,16
silicone quaternium-22,silicone quaternium-22,16
c12-13 pareth-9,c12-13 pareth-9,16
avobenzone/butyl methoxydibenzoylmethane,butyl methoxydibenzoylmethane,16
hydroxypropyl tetrahydropyrantriol,hydroxypropyl tetrahydropyrantriol,16
ceramide eos,ceramide eos,16
parfum* (fragrance),parfum (fragrance),16
aspalathus linearis leaf extract,aspalathus linearis leaf extract,16
ci 16035 (red 40),ci 16035 (red 40),16
propolis extract,propolis extract,16
phytosteryl canola glycerides,phytosteryl canola glycerides,16
caprooyl sphingosine,caprooyl sphingosine,16
simmondsia chinensis seed oil,jojoba oil,16
bha,bha,16
ferula galbaniflua (galbanum) resin oil*,ferula galbaniflua (galbanum) resin oil,16
cocamidopropylamine oxide,cocamidopropylamine oxide,16
hydrogenated cottonseed oil,hydrogenated cottonseed oil,16
hydrolyzed jojoba protein,jojoba oil,16
polyquaternium-73,polyquaternium-73,16
butyrospermum parkii butter,shea butter,16
polyquaternium-70,polyquaternium-70,16
soy amino acids,soy amino acids,16
ascorbic acid (vitamin c),ascorbic acid,16
tocotrienols,tocotrienols,16
tetradecyl aminobutyroylvalylaminobutyric urea trifluoroacetate,tetradecyl aminobutyroylvalylaminobutyric urea trifluoroacetate,16
spirulina platensis extract,spirulina platensis extract,16
darutoside,darutoside,16
gossypium herbaceum (cotton) seed oil,gossypium herbaceum (cotton) seed oil,16
sucrose laurate,sucrose laurate,16
leucine,leucine,16
synthetic japan wax,synthetic japan wax,16
lactobacillus/pumpkin ferment extract,lactobacillus/pumpkin ferment extract,16
carmine,carmine (ci 75470),16
symphytum officinale leaf extract,symphytum officinale leaf extract,16
cyanocobalamin,cyanocobalamin,16
nasturtium officinale extract,nasturtium officinale extract,16
brassica oleracea italica (broccoli) extract,brassica oleracea italica (broccoli) extract,16
euterpe oleracea fruit oil,euterpe oleracea fruit oil,16
polyquaternium-22,polyquaternium-22,16
mentha arvensis leaf oil,mentha arvensis leaf oil,16
+/- iron oxides (ci 77491,iron oxides (ci 77491),16
peg-150,peg-150,16
sodium palmate,sodium palmate,16
ppg-12/smdi copolymer,ppg-12/smdi copolymer,16
mentha piperita (peppermint) leaf extract,mentha piperita (peppermint) leaf extract,16
triisostearyl citrate,triisostearyl citrate,16
hippophae rhamnoides fruit extract,hippophae rhamnoides fruit extract,16
biosaccharide gum-2,biosaccharide gum-2,15
dipotassium phosphate,dipotassium phosphate,15
c10-30 cholesterol/lanosterol esters,c10-30 cholesterol/lanosterol esters,15
propanol,propanol,15
peg-120 methyl glucose trioleate,peg-120 methyl glucose trioleate,15
quaternium-33,quaternium-33,15
poria cocos sclerotium extract,poria cocos sclerotium extract,15
ethylbisiminomethylguaiacol manganese chloride,ethylbisiminomethylguaiacol manganese chloride,15
gentiana lutea (gentian) root extract,gentiana lutea (gentian) root extract,15
olus oil/vegetable oil/huile végétale,olus oil/vegetable oil/huile végétale,15
betula alba (birch) bark extract,betula alba (birch) bark extract,15
laureth-2,laureth-2,15
glycyrrhetinic acid,glycyrrhetinic acid,15
maris sal/sea salt/sel marin,maris sal/sea salt/sel marin,15
salicyloyl phytosphingosine,salicyloyl phytosphingosine,15
glyceryl dioleate,glyceryl dioleate,15
lactobacillus/papaya fruit ferment extract,lactobacillus/papaya fruit ferment extract,15
cassia angustifolia seed polysaccharide,cassia angustifolia seed polysaccharide,15
rhus verniciflua peel wax,rhus verniciflua peel wax,15
pinus pentaphylla seed oil,pinus pentaphylla seed oil,15
ci 60730 (violet 2),ci 60730 (ext violet 2),15
disteareth-75 ipdi,disteareth-75 ipdi,15
cetyl stearate,cetyl stearate,15
vegetable soy wax,vegetable soy wax,15
renewable plant oils,renewable plant oils,15
bis-aminopropyl diglycol dimaleate,bis-aminopropyl diglycol dimaleate,15
laureth-5 carboxylic acid,laureth-5 carboxylic acid,15
caprylic/capric triglyceride**,caprylic/capric triglyceride,15
pelargonium graveolens flower oil*,pelargonium graveolens flower oil,15
hydrogenated soy polyglycerides,hydrogenated soy polyglycerides,15
benzyl,benzyl,15
methoxydibenzoylmethane,methoxydibenzoylmethane,15
gentiana lutea root extract,gentiana lutea root extract,15
ci 26100 (red 17),ci 26100 (red 17),15
ci 47000 (yellow 11),ci 47000 (yellow 11),15
prunus armeniaca (apricot) fruit extract,prunus armeniaca (apricot) fruit extract,15
ethyl hexanediol,ethyl hexanediol,15
crosspolymer,crosspolymer,15
linoleamidopropyl pg-dimonium chloride phosphate,linoleamidopropyl pg-dimonium chloride phosphate,15
triticum vulgare (wheat) starch,triticum vulgare (wheat) starch,15
caprooyl phytosphingosine,caprooyl phytosphingosine,15
palmitoyl grape seed extract,palmitoyl grape seed extract,15
2- hexanediol,2- hexanediol,15
butyl,butyl,15
polybutylene terephthalate,polybutylene terephthalate,15
citrus junos fruit extract,citrus junos fruit extract,15
baptisia tinctoria root extract,baptisia tinctoria root extract,15
nepeta cataria extract,nepeta cataria extract,15
chondrus crispus powder,chondrus crispus powder,15
corn starch modified,corn starch modified,15
lepidium meyenii root extract,lepidium meyenii root extract,15
maltitol,maltitol,15
ethylenediamine/stearyl dimer dilinoleate copolymer,ethylenediamine/stearyl dimer dilinoleate copolymer,15
opuntia ficus-indica seed oil,opuntia ficus-indica seed oil,15
ethyl lauroyl arginate hcl,ethyl lauroyl arginate hcl,15
silanetriol,silanetriol,15
benzalkonium chloride,benzalkonium chloride,15
apigenin,apigenin,15
peg-4 dilaurate,peg-4 dilaurate,15
jasminum officinale (jasmine) oil,jasminum officinale (jasmine) oil,15
enantia chlorantha bark extract,enantia chlorantha bark extract,15
lavandula (lavender) spica oil,lavandula (lavender) spica oil,15
cedrol methyl ether,cedrol methyl ether,15
lepidium sativum sprout extract,lepidium sativum sprout extract,15
copper tripeptide-1,copper tripeptide-1,15
c12-15 alkyl ethylhexanoate,c12-15 alkyl ethylhexanoate,15
volcanic ash,volcanic ash,15
ambroxan,ambroxan,15
propylene glycol stearate,propylene glycol,15
ambrettolide,ambrettolide,15
benzyl nicotinate,benzyl nicotinate,15
sodium laurate,sodium laurate,15
acetyl triethyl citrate,acetyl triethyl citrate,15
lactamide mea,lactamide mea,15
gellidiela acerosa (algae) extract,gellidiela acerosa (algae) extract,15
citrus paradisi (grapefruit) oil,citrus paradisi (grapefruit) oil,15
keratin amino acids,keratin amino acids,15
chamomilla recutita (matricaria) flower extract*,chamomilla recutita (matricaria) flower extract,15
amyris balsamifera bark oil*,amyris balsamifera bark oil,15
tocopherol acetate,tocopherol,15
equisetum arvense (horsetail) leaf extract,equisetum arvense (horsetail) leaf extract,15
panthenol (pro vitamin b5),panthenol,15
gardenia tahitensis (tiare) flower extract,gardenia tahitensis (tiare) flower extract,15
elettaria cardamomum seed oil,elettaria cardamomum seed oil,15
litchi chinensis seed extract,litchi chinensis seed extract,15
cyamopsis tetragonoloba (guar) gum,cyamopsis tetragonoloba (guar) gum,14
vanillyl butyl ether,vanillyl butyl ether,14
capsicum frutescens fruit extract,capsicum frutescens fruit extract,14
eugenia caryophyllus (clove) leaf oil,eugenia caryophyllus (clove) leaf oil,14
citrus aurantium bergamia (bergamot) fruit extract,citrus aurantium bergamia (bergamot) fruit extract,14
caprylic/capric triglycerides,caprylic/capric triglycerides,14
cereus grandiflorus (cactus) extract,cereus grandiflorus (cactus) extract,14
triacetin,triacetin,14
citrus aurantium bergamia (bergamot) fruit oil*,citrus aurantium bergamia (bergamot) fruit oil,14
dmdm hydantoin,dmdm hydantoin,14
castanea sativa (chestnut) seed extract,castanea sativa (chestnut) seed extract,14
nordihydroguaiaretic acid,nordihydroguaiaretic acid,14
hamamelis virginiana (witch hazel),hamamelis virginiana (witch hazel),14
marrubium vulgare extract,marrubium vulgare extract,14
sarcosine,sarcosine,14
polyquaternium-47,polyquaternium-47,14
santalum album (sandalwood) wood extract,santalum album (sandalwood) wood extract,14
eucalyptus globulus leaf oil*,eucalyptus globulus leaf oil,14
brassica oleracea capitata (cabbage) leaf extract,brassica oleracea capitata (cabbage) leaf extract,14
glycoproteins,glycoproteins,14
hydrogenated didecene,hydrogenated didecene,14
cocos nucifera (coconut) oil/cocos nucifera oil,cocos nucifera oil,14
acetyl hexapeptide-1,acetyl hexapeptide-1,14
peg-12 allyl ether,peg-12 allyl ether,14
oenothera biennis (evening primrose) oil*,oenothera biennis (evening primrose) oil,14
poly(linseed oil),poly(linseed oil),14
tetrapeptide-14,tetrapeptide-14,14
aspalathus linearis extract,aspalathus linearis extract,14
ci 77007 / ultramarines,ultramarines (ci 77007),14
tocopheryl acetate (vitamin e acetate),tocopherol,14
zinc,zinc,14
royal jelly,royal jelly,14
hydrogenated poly (c6-14 olefin),hydrogenated poly (c6-14 olefin),14
whey protein\\lactis protein\\proteine du petit-lait,whey protein/lactis protein/proteine du petit-lait,14
galactomyces ferment filtrate,galactomyces ferment filtrate,14
polyester-7,polyester-7,14
capryloyl/caproyl methyl glucamide,capryloyl/caproyl methyl glucamide,14
denatonium benzoate,denatonium benzoate,14
agar,agar,14
hydrogenated phosphatidylcholine,hydrogenated phosphatidylcholine,14
atelocollagen,atelocollagen,14
iron oxide (ci 77492),iron oxides (ci 77492),14
lauryl betaine,lauryl betaine,14
cetrimonium chloride*,cetrimonium chloride,14
passiflora incarnata seed oil,passiflora incarnata seed oil,14
amp-acrylates copolymer,amp-acrylates copolymer,14
tremella fuciformis polysaccharide,tremella fuciformis polysaccharide,14
nannochloropsis oculata extract,nannochloropsis oculata extract,14
copper palmitoyl heptapeptide-14,copper palmitoyl heptapeptide-14,14
cocos nucifera (coconut) water,water,14
dimethicone peg-8 meadowfoamate,dimethicone,14
6-dimethoxy-2,6-dimethoxy-2,14
honey,honey,14
paullinia cupana seed extract,paullinia cupana seed extract,14
batyl alcohol,batyl alcohol,14
dicetyldimonium chloride,dicetyldimonium chloride,14
rosa moschata seed oil,rosa moschata seed oil,14
argania spinosa kernel oil*,argania spinosa kernel oil,14
psidium guajava fruit extract,psidium guajava fruit extract,14
hippophae rhamnoides fruit oil,hippophae rhamnoides fruit oil,14
stearyl caprylate,stearyl caprylate,14
glyceryl caprylate/caprate,glyceryl caprylate/caprate,14
camphor,camphor,14
sea salt/maris sal/sel marin,sea salt/maris sal/sel marin,14
brassica oleracea acephala leaf extract,brassica oleracea acephala leaf extract,14
glyceryl dibehenate,glyceryl dibehenate,14
brassica alcohol*,brassica alcohol,14
myristyl laurate,myristyl laurate,14
cymbopogon schoenanthus oil,cymbopogon schoenanthus oil,14
astaxanthin,astaxanthin,14
daucus carota sativa (carrot) seed oil,daucus carota sativa (carrot) seed oil,14
stellaria media (chickweed) extract,stellaria media (chickweed) extract,14
sodium palm kernelate,sodium palm kernelate,14
violet 2 (ci 60725),violet 2 (ci 60725),13
cetyl triethylmonium dimethicone peg-8 succinate,dimethicone,13
gluconic acid,gluconic acid,13
hylocereus undatus fruit extract,hylocereus undatus fruit extract,13
bismuth oxychloride,bismuth oxychloride (ci 77163),13
hydrolyzed verbascum thapsus flower,hydrolyzed verbascum thapsus flower,13
potato starch modified,potato starch modified,13
octisalate 5.0%,octisalate,13
polyglyceryl-10 pentaisostearate,polyglyceryl-10 pentaisostearate,13
vitis vinifera (grape) fruit water,vitis vinifera (grape) fruit water,13
acetyl tetrapeptide-2,acetyl tetrapeptide-2,13
rosa centifolia flower water,rosa centifolia flower water,13
hydrolyzed viola tricolor extract,hydrolyzed viola tricolor extract,13
acetyl tetrapeptide-9,acetyl tetrapeptide-9,13
phenylisopropyl dimethicone,dimethicone,13
salvia hispanica (chia) seed extract,salvia hispanica (chia) seed extract,13
polylactic acid,polylactic acid,13
methyl hydrogenated rosinate,methyl hydrogenated rosinate,13
juniperus virginiana oil,juniperus virginiana oil,13
populus tremuloides bark extract,populus tremuloides bark extract,13
phosphatidylglycerol,phosphatidylglycerol,13
jojoba wax peg-120 esters,jojoba oil,13
tamarindus indica seed gum,tamarindus indica seed gum,13
helianthus annuus seed extract/sunflower seed extract,helianthus annuus seed oil,13
amylcinnamyl alcohol,amylcinnamyl alcohol,13
jojoba oil/macadamia seed oil esters,jojoba oil,13
sea salt,sea salt,13
rhodiola rosea extract,rhodiola rosea extract,13
persea gratissima (avocado) butter,persea gratissima oil,13
oryza sativa (rice) germ oil,oryza sativa (rice) germ oil,13
lauroyl/myristoyl methyl glucamide,lauroyl/myristoyl methyl glucamide,13
passiflora incarnata fruit extract,passiflora incarnata fruit extract,13
sodium starch octenylsuccinate,sodium starch octenylsuccinate,13
peg-240/hdi copolymer bis-decyltetradeceth-20 ether,peg-240/hdi copolymer bis-decyltetradeceth-20 ether,13
cinnamomum cassia bark extract,cinnamomum cassia bark extract,13
potassium azeloyl diglycinate,potassium azeloyl diglycinate,13
lactobacillus/pumpkin fruit ferment filtrate,lactobacillus/pumpkin fruit ferment filtrate,13
ci 47005 (yellow 10),ci 47005 (yellow 10),13
aframomum angustifolium seed extract,aframomum angustifolium seed extract,13
polyurethane-35,polyurethane-35,13
hydrogenated castor oil dimer dilinoleate,hydrogenated castor oil dimer dilinoleate,13
citrus aurantium dulcis (orange) flower oil,citrus aurantium dulcis (orange) flower oil,13
fd&c blue no. 1 (ci 42090),ci 42090 (blue 1),13
apium graveolens (celery) seed extract,apium graveolens (celery) seed extract,13
potassium stearate,potassium stearate,13
heptapeptide-15 palmitate,heptapeptide-15 palmitate,13
zea mays (corn) starch zea mays starch,zea mays (corn) starch zea mays starch,13
butylparaben,butylparaben,13
mineral oil,mineral oil,13
dibutyl ethylhexanoyl glutamide,dibutyl ethylhexanoyl glutamide,13
polyacrylate-21,polyacrylate-21,13
hydroxystearic/linolenic/oleic polyglycerides,hydroxystearic/linolenic/oleic polyglycerides,13
centella asiatica meristem cell culture,centella asiatica meristem cell culture,13
solanum lycopersicum (tomato) fruit extract,solanum lycopersicum (tomato) fruit extract,13
bidens pilosa extract,bidens pilosa extract,13
sodium carbomer,carbomer,13
silybum marianum seed oil,silybum marianum seed oil,13
jojoba alcohol,jojoba oil,13
sodium lauroyl oat amino acids,sodium lauroyl oat amino acids,13
bupleurum falcatum root extract,bupleurum falcatum root extract,13
glycol,glycol,13
chlorella protothecoides oil,chlorella protothecoides oil,13
methyl benzoate,methyl benzoate,13
denatured ethyl alcohol,alcohol denat,13
polyisoprene,polyisoprene,13
leontopodium alpinum callus culture extract,leontopodium alpinum callus culture extract,13
ppg-2 hydroxyethyl cocamide,ppg-2 hydroxyethyl cocamide,13
propanediol*,propanediol,13
distarch phosphate,distarch phosphate,13
rice amino acids,rice amino acids,13
citrus paradisi (grapefruit) peel oil*,citrus paradisi (grapefruit) peel oil,13
glyceryl stearate*,glyceryl stearate,13
elettaria cardamomum seed oil*,elettaria cardamomum seed oil,13
pogostemon cablin oil*,pogostemon cablin oil,13
prunus amygdalus dulcis (sweet almond) oil*,prunus amygdalus dulcis (sweet almond) oil,13
cetearyl alcohol*,cetearyl alcohol,13
cetyl alcohol*,cetyl alcohol,13
sodium acrylates crosspolymer-2,sodium acrylates crosspolymer-2,13
aloe barbadensis (aloe vera) leaf juice*,aloe barbadensis,13
anthemis nobilis (chamomile) flower extract,anthemis nobilis (chamomile) flower extract,13
hydrolyzed hibiscus esculentus extract,hydrolyzed hibiscus esculentus extract,13
microcitrus australasica fruit extract,microcitrus australasica fruit extract,13
ammonium hydroxide,ammonium hydroxide,13
paraffinum liquidum (mineral oil),paraffinum liquidum (mineral oil),13
morinda citrifolia fruit extract,morinda citrifolia fruit extract,13
hamamelis virginiana (witch hazel) extract,hamamelis virginiana (witch hazel) extract,13
rosa damascena flower oil*,rosa damascena flower oil,13
